locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSMUSG00000037295,Ldlrap1,1,349,NE,Nonessential
ENSMUSG00000037296,Lsm1,1,349,E,Essential
ENSMUSG00000037313,Tacc3,1,349,E,Essential
ENSMUSG00000037315,Phf16,1,349,NE,Nonessential
ENSMUSG00000037316,Bag4,1,349,NE,Nonessential
ENSMUSG00000037318,Traf3ip3,1,349,NE,Nonessential
ENSMUSG00000037321,Tap1,1,349,NE,Nonessential
ENSMUSG00000037325,Bbs7,1,349,E,Essential
ENSMUSG00000037335,Hand1,1,349,E,Essential
ENSMUSG00000037337,Map4k1,1,349,NE,Nonessential
ENSMUSG00000037346,Hrh4,1,349,NE,Nonessential
ENSMUSG00000037362,Nov,1,349,E,Essential
ENSMUSG00000037364,Srrt,1,349,E,Essential
ENSMUSG00000037366,Pafah2,1,349,NE,Nonessential
ENSMUSG00000037369,Kdm6a,1,349,E,Essential
ENSMUSG00000037370,Enpp1,1,349,E,Essential
ENSMUSG00000037373,Ctbp1,1,349,E,Essential
ENSMUSG00000037375,Hhat,1,349,E,Essential
ENSMUSG00000037379,Spon2,1,349,NE,Nonessential
ENSMUSG00000037386,Rims2,1,349,E,Essential
ENSMUSG00000037393,Nmur2,1,349,NE,Nonessential
ENSMUSG00000037405,Icam1,1,349,E,Essential
ENSMUSG00000037406,Htra4,1,349,NE,Nonessential
ENSMUSG00000037408,Cnnm4,1,349,NE,Nonessential
ENSMUSG00000037410,Tbc1d2b,1,349,NE,Nonessential
ENSMUSG00000037411,Serpine1,1,349,NE,Nonessential
ENSMUSG00000037415,Ranbp10,1,349,NE,Nonessential
ENSMUSG00000037418,Best1,1,349,NE,Nonessential
ENSMUSG00000037426,Depdc5,1,349,E,Essential
ENSMUSG00000037428,Vgf,1,349,E,Essential
ENSMUSG00000037434,Slc30a1,1,349,E,Essential
ENSMUSG00000037440,Vnn1,1,349,NE,Nonessential
ENSMUSG00000037446,Tulp1,1,349,NE,Nonessential
ENSMUSG00000037447,Arid5a,1,349,NE,Nonessential
ENSMUSG00000037458,Azin1,1,349,E,Essential
ENSMUSG00000037465,Klf10,1,349,NE,Nonessential
ENSMUSG00000037474,Dtl,1,349,E,Essential
ENSMUSG00000037477,Tbx10,1,349,E,Essential
ENSMUSG00000037486,Asxl2,1,349,E,Essential
ENSMUSG00000037487,Ubr5,1,349,E,Essential
ENSMUSG00000037493,Cib2,1,349,NE,Nonessential
ENSMUSG00000037499,Nenf,1,349,NE,Nonessential
ENSMUSG00000037509,Arhgef4,1,349,NE,Nonessential
ENSMUSG00000037514,Pank2,1,349,E,Essential
ENSMUSG00000037523,Mavs,1,349,NE,Nonessential
ENSMUSG00000037531,Mrpl47,1,349,E,Essential
ENSMUSG00000037533,Rapgef6,1,349,NE,Nonessential
ENSMUSG00000037541,Shank2,1,349,E,Essential
ENSMUSG00000037544,Dlgap5,1,349,E,Essential
ENSMUSG00000037568,Vash2,1,349,NE,Nonessential
ENSMUSG00000037570,Mcrs1,1,349,E,Essential
ENSMUSG00000037573,Tob1,1,349,NE,Nonessential
ENSMUSG00000037578,Pkd2l1,1,349,NE,Nonessential
ENSMUSG00000037579,Kcnh3,1,349,NE,Nonessential
ENSMUSG00000037583,Nr0b2,1,349,NE,Nonessential
ENSMUSG00000037600,1810019J16Rik,1,349,E,Essential
ENSMUSG00000037601,Nme1,1,349,E,Essential
ENSMUSG00000037605,Lphn3,1,349,NE,Nonessential
